categoryId,difficulty,title,path,sourceLine,topicId
"ap_gi","C","NASH (Non-alcoholic steatohepatitis)","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > NASH (Non-alcoholic steatohepatitis)","2387","76076f02-721a-4cff-94c4-1040aa7bf872"
"ap_gi","C","Cirrhosis","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Cirrhosis","2388","1d6bd63c-eb44-4584-b975-82ab8b97c753"
"ap_gi","C","Amebic abscess","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Amebic abscess","2389","b9441316-7a6b-4ba8-a12b-fe83a95afb47"
"ap_gi","C","Echinococcosis","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Echinococcosis","2391","74c916a7-a041-4b2a-b281-dbbdd7ee816a"
"ap_gi","AR","GVHD","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > GVHD","2394","6b7284c6-c90a-4f68-a5c6-82c85f04cff6"
"ap_gi","F","Rejection","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Rejection","2395","6a2ad720-e84e-482b-9f63-6a29a8dda19d"
"ap_gi","AR","Autoimmune hepatitis including overlap syndromes","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Autoimmune hepatitis including overlap syndromes","2397","d6fcf6a2-1ead-4c7a-baf0-8ce15da3dd42"
"ap_gi","AR","Viral hepatitis (Hepatitis A, B, & C)","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Viral hepatitis (Hepatitis A, B, & C)","2398","727f9c99-a112-4a4c-9a8b-ade2357cafb4"
"ap_gi","AR","EBV, CMV, and Herpes hepatitis","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > EBV, CMV, and Herpes hepatitis","2399","4e90a32b-ef98-4dba-a8ca-62373f0f244e"
"ap_gi","C","Hemangioma","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hemangioma","2406","cbad248a-dfec-45d4-a12a-8d065ed449a9"
"ap_gi","AR","Hepatoblastoma","The Digestive System > The Liver and Biliary Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hepatoblastoma","2414","f1aef14c-1415-4348-a902-2f8f3c06791d"
"ap_gi","AR","Pseudocyst","The Digestive System > The Pancreas > Acute and chronic pancreatitis > Pseudocyst","2578","2dd44ee1-1730-4377-9c84-f82480f47657"
"ap_gi","C","Autoimmune pancreatitis","The Digestive System > The Pancreas > Acute and chronic pancreatitis > Autoimmune pancreatitis","2579","b6ca632d-d00b-429b-8534-d1e73cd7c305"
"ap_gi","C","Infections","The Digestive System > The Pancreas > Acute and chronic pancreatitis > Infections","2580","b72f3c55-4408-46ae-bab7-3bb5894775a6"
"ap_gi","AR","Pancreatoblastoma","The Digestive System > The Pancreas > Acute and chronic pancreatitis > Pancreatoblastoma","2590","f40e1cd5-7985-45b0-bf1d-7d2e618e36f4"
"ap_endo","AR","Pituitary cysts","The Endocrine System > The Thyroid > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Pituitary cysts","2673","1447913b-e8be-4e04-a902-954492f4be9a"
"ap_endo","AR","Hypophysitis","The Endocrine System > The Thyroid > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Hypophysitis","2675","e77d9a7c-5eee-4f8a-9d12-ad83358be25e"
"ap_endo","AR","Nodular goiter","The Endocrine System > The Thyroid > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Nodular goiter","2689","67f7fe83-9a14-4592-964b-ec1822a9a3f6"
"ap_endo","AR","Pigmentary alteration","The Endocrine System > The Thyroid > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Pigmentary alteration","2690","442162b0-b675-4db8-951d-5a41972e043f"
"ap_endo","C","Infections","The Endocrine System > The Thyroid > Inflammatory, Metabolic, Non-Infectious & Infectious > Infections","2696","61efa0c2-4270-480b-bcc6-51a679803757"
"ap_endo","C","The Adrenal Glands","The Endocrine System > The Adrenal Glands","2787","3892cda8-6342-438e-a9c9-294f46ec0eb5"
"ap_endo","AR","Hemorrhage","The Endocrine System > The Adrenal Glands > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hemorrhage","2812","2d2359d2-1eda-4dae-9b30-83dbc1c7fbd2"
"ap_endo","C","Infections","The Endocrine System > The Adrenal Glands > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Infections","2816","9e46dcae-ae3f-481e-bc7b-f506594e098e"
"ap_male_repro","AR","Infections","Male Reproductive System > The Vulva > Lichen sclerosis > Infections","2873","f370bf22-9b09-4884-8980-b609c8eb9e8e"
"ap_male_repro","C","Adenosis","Male Reproductive System > The Uterine Cervix > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Adenosis","2961","57b7ef85-4229-4683-9e12-e9746c5c4e12"
"ap_male_repro","C","Stromal polyp","Male Reproductive System > The Uterine Cervix > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Stromal polyp","2966","01278486-ad2f-413a-93fe-d45d29f116a9"
"ap_male_repro","AR","Infections","Male Reproductive System > The Uterine Cervix > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Infections","2981","4f96571e-a803-4bbb-b9a6-7e5938375da8"
